Original,R2,Modelo,RMSE,Iteración_independiente
6 * sin(x1) * cos(x2),0.9999997357711534,5.86272133903162*sin(1.0*X1)*cos(1.0*X2),0.0015440659082912,8
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9307070660263156,7.768*exp(0.015129*X1**2)*sin(0.852*X1)*cos(0.452*X2) - 0.024,1.3948830136343664,8
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.7034504492120109,1.405*(sin(0.652*X2) + cos(2.114*X1))*(cos(1.063*X1) + cos(0.229*X2)) + 0.264,1.3830437492061949,8
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9399331227944916,0.134*exp(sin(1.479*X1) + sin(0.2116*X2**2*sin(0.795*X2)**2)) - 0.079,0.0499058254446531,9
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.8389909838294556,-0.181*sin(1.971*X1) - 0.181*sin(2.097*X1) + 0.181*sin(2.836*X1) - 0.181*cos(1.459*X1) + 0.028,0.1215455096332409,9
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.677555410936312,3.649*sin(1.973*X1)*sin(sin(0.411*X1)**2*cos(0.31*X2)) + 0.001,0.5707630135890482,9
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6111667993280646,-0.113*cos(1.039*X1) - 0.113*cos(1.029*X3) - 0.113*cos(1.039*X4) - 0.113*cos(1.026*X5) + 0.546,0.1155481961195038,9
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.865674342381825,1.31408*X3*cos(1.598*X1) - 1.528*sin(1.414*X2 - 0.597*X3)*cos(1.585*X1) + 0.012,0.3254618049691803,9
6 * sin(x1) * cos(x2),0.5201560118227052,4.592*sin(0.767*X1 + 1.121*X2 + sin(1.821*X1)) + 0.462,2.0781129776833995,9
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9324556244705426,18.8*sin(0.365*X1)*cos(0.429*X1)*cos(0.453*X2) - 0.015,1.3771705632773248,9
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),-1.1340947400641824e+33,0.05*exp(0.099225*X1**2 + sin(0.707*X2)/sin(0.429*X1)) + 0.024,8.55288924566673e+16,9
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.0,((-0.225) + (0.212 * exp(exp((((-0.321) * X1) * ((0.479 * X1) - (sin((1.432 * X1)) + (sin(((-1.898) * X2)) / (1.047 * X1))))))))),,10
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.9638327302974172,-0.554*exp(cos(0.321*X1))*sin(0.404*X1)*sin(0.406*X1)*sin(1.991*X1) + 0.002,0.0576067132115538,10
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.8891138429332197,3.33*sin(1.995*X1)*sin(0.305*X1 + sin(0.307*X1))*cos(0.305*X2) + 0.001,0.3347077847695471,10
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.611079052170336,-0.113*cos(1.04*X1) - 0.113*cos(1.028*X3) - 0.113*cos(1.04*X4) - 0.113*cos(1.025*X5) + 0.546,0.1155610405104127,10
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7865692873009935,-1.630323552*X1*X3 + 1.634954*X1 + 1.623424*X3 - 1.632,0.4102514510652289,10
6 * sin(x1) * cos(x2),0.5090268085927339,2.579*sin(0.774*X1 + 1.293*X2)/cos(cos(1.071*X2)) + 0.639,2.1020734321100685,10
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9693949169937606,-0.519219712*(X1 - 0.915441176470588*X2)**2 - 7.018*sin(0.424*X2 - sin(0.77*X1) + exp(-0.336*X1)) + 7.564,0.9270229788449148,10
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.737699949766651,0.132*exp(2*sin(0.634*X2) + 2*cos(1.035*X1)) - 0.132,1.3007313746393234,10
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.5004697881928806,0.055*exp(exp(sin(1.068*X1 + exp(cos(1.16*X1 - cos(1.174*X2)))))) - 0.071,0.1439119655754646,11
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0,((-0.004) + (0.306 * (sin((1.999 * X1)) / (((0.437 * X1) / (0.434 * X1)) - ((exp((0.343 * X1)) - (0.437 * X1)) / (0.372 * X1)))))),,11
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-0.3010449216716255,0.912*cos(1.777*X1 + 2.699*X2 - sin(0.473*X1) + sin(0.473*X2)**2) - 0.004,1.1464987927751804,11
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.6594546703752018,0.863*sin(0.509*X1)*sin(0.506*X3)*sin(0.508*X4)*sin(0.511*X5) + 0.392,0.1081369302659194,11
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.7865967873782743,-1.630834764*X1*X3 + 1.633814*X1 + 1.622816*X3 - 1.631,0.4102253616778659,11
6 * sin(x1) * cos(x2),0.9999985386871598,-105.616415287605*sin(1.0*X1)*cos(1.0*X2) - 0.001,0.0036296128506601,11
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.935794411539694,14.186*sin(0.847*X1)*cos(0.464*X2)*cos(cos(0.227*X1*cos(0.413*X2))) + 0.064,1.3427026370747652,11
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.6592321048104758,0.68*exp(cos(1.026*X1) + cos(1.026*X1 + 0.33*X2 - sin(0.161604*X2**2))) - 0.402,1.4825779867670357,11
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9446651137779736,0.377*(sin(1.545*X1) + sin(0.588*X2))*sin(0.663*X2)*cos(0.586*X1 - 0.205*X2) + 0.002,0.0478930748532603,12
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.8470031801490713,-0.297*exp(cos(1.621*X1)) + 0.297*cos(2.383*X1) + 0.1485*cos(0.884*X1 - 2*cos(0.149*X1)) + 0.3685,0.1184853404240664,12
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),0.1273828209901099,0.934*sin(1.961*X1 + 0.387*X2 + sin(sin(2.391*X2))) - 0.002,0.9389433158026964,12
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.709591099898974,0.206*(sin(0.523*X1) + sin(0.519*X4))*(sin(0.52*X3) + sin(0.522*X5)) + 0.215,0.0998590326302492,12
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.9280997157576374,-0.002 - 0.473*cos(1.575*X1)*cos(1.549*X3)*cos(sin(1.638*X1))/sin(0.199809*X2**2),0.2381147699819907,12
6 * sin(x1) * cos(x2),0.3403618977606614,3.955*sin(0.76*X1 + 1.321*X2 + 0.33955857385399*cos(X1*(0.210667*X1 + 0.296947*X2))/X1) + 0.811,2.4365304695610703,12
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.9311546712668802,15.015*sin(0.845*X1)*sin(cos(cos(0.292*X1 - 0.144*X2)))*cos(0.459*X2) + 0.058,1.3903706458484415,12
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.5595622023740529,2.839 - 3.297*sin((0.434*X1*(1.105*X2 - exp(2.74869109947644*X2/X1)) - 0.35*X2)/(1.105*X2 - exp(2.74869109947644*X2/X1))),1.6855089184013945,12
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.9471336528360846,0.021*exp(exp(sin(0.628*X2)) + sin(1.482*X1)) - 0.072,0.0468197180042154,13
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1)),0.0,(0.015 + (0.039 * (sin(((-1.992) * X1)) / (exp(((-1.940) * X1)) * exp(((((-0.586) * X1) ^ 2) / (((-1.265) * X1) / ((-1.098) * X1)))))))),,13
(exp(-x1) * x1 ** 3 * cos(x1) * sin(x1) * (cos(x1) * (sin(x1) ** 2) - 1) * (x2 - 5)),-0.0935054475773478,0.909*sin(1.994*X1 + 0.561001*X2**2 - 0.951*X2),1.0510843868462816,13
10 / (5 + (x1 - 3) ** 2 + (x2 - 3) ** 2 + (x3 - 3) ** 2 + (x4 - 3) ** 2 + (x5 - 3) ** 2),0.4672168834942581,0.269*sin(0.514*X3) + 0.269*sin(0.519*X4) + 0.269*sin(0.515*X5) + 0.028,0.1352564475196036,13
30 * ((x1-1)*(x3-1) / ((x2**2) * (x1 - 10))),0.9362380510988558,((-0.024845674784805*X1**4*exp(1.705*X2) - 11.205)*cos(1.55*X1)*cos(1.55*X3) - 0.002*exp(1.705*X2))*exp(-1.705*X2),0.2242336866113398,13
6 * sin(x1) * cos(x2),0.3031083145153669,3.623*sin(0.693*X1 + 1.404*X2*cos(sin(0.056169*X2**2*exp(-0.707*X1)))) + 0.749,2.504389002144159,13
(x1 - 3) * (x2 - 3) + 2 * sin((x1 - 4) * (x2 - 4)),0.7594145810770256,-0.457340184*X1**2 + 1.26996162*X1*X2 - 1.392336*X1 - 3.755088*X2 + 9.598,2.5991311481214967,13
((x1 - 3) ** 4 + (x2 - 3) ** 3 - (x2 - 3)) / ((x2 - 2) ** 4 + 10),0.4749433757545884,0.348*exp(exp(cos(1.042*X1 + 0.0324*X2**2))) - 0.663,1.840312576913657,13
exp(-((x0 + 1) ** 2)) / (1.2 + (x1 - 2.5) ** 2),0.8975452552383933,0.027*exp(exp(cos(sin(exp(sin(0.629*X2))))) + sin(1.474*X1)) - 0.091,0.0651760185616316,14
