Original,R2,Modelo,RMSE,Iteración_independiente
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9985268651143188,0.255482*X1*sin(0.635*X2) - 0.0302585034013605*X1*exp(-1.334025*X2**2)/X2 + 0.003,0.0090069781642754,19
2 * Cain / (1 + exp(-5.7 * t)),0.9999983044915768,2.00064*X1 + 1.28*cos(exp(-2.229*X2 + sin(0.239*X1))) - 1.277,0.0027738060529294,20
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9998368835582372,0.217083*X1 - 0.269*exp(-0.469224*X2**2 - 7.69844444444444*X2**2/X1) - 0.003,0.0027343472590404,20
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9991346383685622,(0.037464*X1*(6.799*X2 - cos(1.614*X2)**2) + 0.005*exp(0.519*X2))*exp(-0.519*X2),0.0056137342963854,20
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9994076664921068,2.843*sin(0.116*X1)*sin(0.601*X2)*sin(sin(0.434*X2 + sin(0.83*X2))) - 0.009,0.0057270431937331,20
2 * Cain / (1 + exp(-5.7 * t)),0.99999164098871,(-0.023688*X1 + (2.005584*X1 + 0.001)*(1.988*X2 - cos(1.03*X2)))/(1.988*X2 - cos(1.03*X2)),0.0061507930540788,21
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999766691425216,0.215586*X1 - 0.609*exp(0.342*X1 - 5.018*X2) + 0.002,0.0010214348312205,21
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9996335197100704,0.169275*X1 - 0.0266314084001456*X1*cos(1.107*X2)/X2**2,0.0036405603176391,21
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9995470733927334,X1*(0.328888*sin(0.38*X2) - 0.034496*cos(2.116*X2)),0.0050002359666008,21
2 * Cain / (1 + exp(-5.7 * t)),0.9999819382101144,1.996208*X1 + 0.358*cos(2*exp(-1.681*X2)) - 0.347,0.0090327270055573,22
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.9999865645695118,0.215847*X1*cos(exp(-1.758442*X2**2)),0.0007754541559511,22
Cain * (-8.455 * exp(-5 * t) - 16.442 * exp(-6 * t) + 24.724 * exp(-5.7 * t) + 0.173),0.9985433556691922,0.172144*X1 - 0.464*exp(0.395*X1 - 3.549*X2) + 0.003,0.0072642958646709,22
Cain * (-1 * exp(-2 * t) + 8.455 * exp(-5 * t) + 12.3315 * exp(-6 * t) - 20.045 * exp(-5.7 * t) + 0.26),0.9998752917277492,X1*(-0.216603*exp(-1.077*X2 - sin(1.766*X2)) + 0.291879*sin(0.638*X2)),0.0026307784161026,22
2 * Cain / (1 + exp(-5.7 * t)),0.999994501890202,1.995625*X1 - 0.625*sin(exp(exp(-3.504941188*X2**3))) + 0.533,0.0049751593374134,23
Cain * (4.1104 * exp(-6 * t) + 0.2163 - 4.3267 * exp(-5.7 * t)),0.999953619564534,0.2175*X1 - 0.00626522046341193*X1/X2**3,0.001473091360613,23
